change,file,name,landuse,humid,semi-arid,description
replace (v),.plant,BLAI,RNGB,2.120652,2.476754,Maximum potential leaf area index
replace (v),.plant,BLAI,RNGE,-9999,1.947813,Maximum potential leaf area index
replace (v),.plant,DLAI,FRSD,-9999,0.098195,Fraction of growing season when leaf area begins to decline
replace (v),.plant,DLAI,FRSE,0.05755,0.237512,Fraction of growing season when leaf area begins to decline
replace (v),.plant,DLAI,RNGB,0.063713,0.335022,Fraction of growing season when leaf area begins to decline
replace (v),.plant,DLAI,RNGE,-9999,0.362522,Fraction of growing season when leaf area begins to decline
replace (v),.plant,FRGRW1,FRSD,-9999,0.182386,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,FRGRW1,FRSE,0.094906,0.234142,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,FRGRW1,RNGB,0.073245,0.140996,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,FRGRW1,RNGE,-9999,0.15897,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,FRGRW2,FRSD,-9999,0.879965,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,FRGRW2,FRSE,0.669895,0.866221,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,FRGRW2,RNGB,0.788557,0.946369,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,FRGRW2,RNGE,-9999,0.532641,Fraction of the plant growing season or fraction of total potential heat units corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,LAIMX1,FRSD,-9999,0.240761,Fraction of the maximum leaf are index corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,LAIMX1,FRSE,0.209339,0.241371,Fraction of the maximum leaf are index corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,LAIMX1,RNGB,0.306569,0.289126,Fraction of the maximum leaf are index corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,LAIMX1,RNGE,-9999,0.306813,Fraction of the maximum leaf are index corresponding to the 1st point on the optimal leaf area development curve
replace (v),.plant,LAIMX2,FRSD,-9999,0.568426,Fraction of the maximum leaf are index corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,LAIMX2,FRSE,0.571643,0.879488,Fraction of the maximum leaf are index corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,LAIMX2,RNGB,0.620246,0.802379,Fraction of the maximum leaf are index corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,LAIMX2,RNGE,-9999,0.78595,Fraction of the maximum leaf are index corresponding to the 2nd point on the optimal leaf area development curve
replace (v),.plant,T_BASE,FRSD,-9999,4.32703,Minimum (base) temperature for plant growth (°C)
replace (v),.plant,T_BASE,FRSE,3.332426,2.338313,Minimum (base) temperature for plant growth (°C)
replace (v),.plant,T_BASE,RNGB,2.593639,4.00003,Minimum (base) temperature for plant growth (°C)
replace (v),.plant,T_BASE,RNGE,-9999,5.249556,Minimum (base) temperature for plant growth (°C)
replace (v),.plant,T_OPT,FRSD,-9999,25.964085,Optimal temperature for plant growth (°C)
replace (v),.plant,T_OPT,FRSE,25.715307,37.066895,Optimal temperature for plant growth (°C)
replace (v),.plant,T_OPT,RNGB,7.604404,22.480682,Optimal temperature for plant growth (°C)
replace (v),.plant,T_OPT,RNGE,-9999,23.633015,Optimal temperature for plant growth (°C)
replace (v),.rte,CH_K2,All,53.436054,43.188293,Effective hydraulic conductivity in main channel alluvium (mm/hr)
replace (v),.rte,CH_N2,All,0.242703,0.204145,"Manning's ""n"" value for the main channel"
