"metric","basin","sev","thresh","equation","r2","F_stat","p_val"
"Annual DOC Load (10⁴)","Humid; Forested Basin","High","23.5","27 + 0.14P + 9.2x10⁻⁴P²",0.997,2690,"p < 0.001"
"Annual DOC Load (10⁴)","Semi-Arid; Mixed Land Use Basin","Low","24.7","3.6 + 4.9x10⁻²P + -4.5x10⁻⁴P² + 3.1x10⁻⁶P³",0.987,433,"p < 0.001"
"Annual DOC Load (10⁴)","Semi-Arid; Mixed Land Use Basin","Moderate","11","3.6 + 9.6x10⁻²P + -8.2x10⁻⁴P² + 6.5x10⁻⁶P³",0.989,523,"p < 0.001"
"Annual DOC Load (10⁴)","Semi-Arid; Mixed Land Use Basin","High","7.6","3.6 + 0.13P + -1.2x10⁻³P² + 1.1x10⁻⁵P³",0.984,355,"p < 0.001"
"DOC Richard Baker Flashiness Index","Humid; Forested Basin","Low","-","0.35 + -1x10⁻³P + -3.7x10⁻⁶P² + 5.8x10⁻⁸P³",0.98,273,"p < 0.001"
"DOC Richard Baker Flashiness Index","Humid; Forested Basin","Moderate","-","0.34 + -9.8x10⁻⁴P + -1.2x10⁻⁵P² + 1x10⁻⁷P³",0.982,306,"p < 0.001"
"DOC Richard Baker Flashiness Index","Humid; Forested Basin","High","-","0.35 + -1x10⁻⁵P² + 2x10⁻⁸P³",0.899,79.8,"p < 0.001"
"DOC Richard Baker Flashiness Index","Semi-Arid; Mixed Land Use Basin","Low","7.3","0.2 + 2.1x10⁻³P + -3x10⁻⁵P² + 1.8x10⁻⁷P³",0.978,248,"p < 0.001"
"DOC Richard Baker Flashiness Index","Semi-Arid; Mixed Land Use Basin","Moderate","0","0.22 + 4x10⁻³P + -7.3x10⁻⁵P² + 4.5x10⁻⁷P³",0.911,58.1,"p < 0.001"
"DOC Richard Baker Flashiness Index","Semi-Arid; Mixed Land Use Basin","High","0","0.24 + 5.4x10⁻³P + -9.8x10⁻⁵P² + 6.3x10⁻⁷P³",0.82,25.8,"p < 0.001"
